,name,artists:name,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1534,Monster (Dotexe Remix),Nightcore,spotify:track:0y8UKPyJOluqIuacosTKEv,184946,0.578,0.649,0,-5.649,1,0.0878,0.416,0.00253,0.0869,0.386,168.813,4
1535,Everytime We Touch - Nightcore Edit,Cascada,spotify:track:76nitv7aiLVbJLmuZZKb92,148478,0.517,0.962,0,-6.391,1,0.102,0.0126,0.00125,0.436,0.546,177.641,4
1536,Welcome to the Club - Nightcore Edit,Manian,spotify:track:4crpj2tAQzu03CLvVPrbEy,153920,0.535,0.999,1,-6.712,0,0.0994,0.0267,0.0236,0.332,0.0851,95.008,4
1537,Stamp on the Ground - Nightcore Edit,ItaloBrothers,spotify:track:1xEN36QncsfBMo3MfTg2LI,157598,0.645,0.948,11,-8.29,1,0.0464,0.198,0.0264,0.197,0.41,93.744,4
1538,Miracle - Nightcore Edit,Cascada,spotify:track:4DTt5GO8pY4Rxv2exdNqtK,174502,0.552,0.94,9,-7.303,1,0.0544,0.0324,0.000236,0.273,0.685,175.06,4
1539,Angel With a Shotgun,The Cab,spotify:track:5A8jUZatix87xG0Zj6HSKG,223092,0.543,0.84,2,-5.121,1,0.0499,0.00471,0.0,0.179,0.394,124.037,4
1540,"Mies, Jolle Ei Koskaan Tapahdu Mitään",J. Karjalainen Yhtyeineen,spotify:track:1rNqqzRHA3i2MSHRQ7tD87,286693,0.683,0.661,0,-8.069,1,0.0256,0.0451,1.04e-05,0.125,0.653,106.522,4
1541,1972,Anssi Kela,spotify:track:7BkWKIEQYvABzJiSb5O6ZN,248546,0.552,0.586,3,-7.242,1,0.0801,0.0344,0.0,0.167,0.558,153.973,4
1542,Mennyt mies,J. Karjalainen,spotify:track:0thSyp6VHdgcQsSuoYEdOJ,255440,0.591,0.856,11,-5.26,0,0.0327,0.004,6.52e-06,0.0943,0.663,124.024,4
1543,Puistossa,Anssi Kela,spotify:track:4WykP5Z0vPqC7M1NC9jC8C,270080,0.673,0.576,0,-8.812,1,0.152,0.0997,0.000182,0.116,0.772,81.935,4
1544,Every Breath You Take - Remastered 2003,The Police,spotify:track:5C0LFQARavkPpn7JgA4sLk,253250,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0701,0.74,117.401,4
1545,Vadelmavene,Kasmir,spotify:track:31zvhJSp0L6D3R8FXtjhqC,198253,0.497,0.58,11,-5.553,0,0.243,0.232,0.0,0.679,0.662,86.14,4
1546,Shake That,"Eminem, Nate Dogg",spotify:track:6KqKg8IPuvtDB3PNAvffFf,274440,0.964,0.642,1,-5.831,0,0.109,0.0543,3.68e-05,0.158,0.547,107.006,4
1547,Antaudun,Reino Nordin,spotify:track:4waYSI6TTW0guhTJc4gWzq,196923,0.534,0.715,1,-4.556,0,0.279,0.617,0.0,0.132,0.661,172.083,4
1548,Tahdon rakastella sinua,SANNI,spotify:track:6FwrG9yyKfGve1wOMq98f9,212526,0.599,0.879,8,-3.309,1,0.0965,0.0222,0.0,0.0725,0.538,147.055,4
1549,Tired of Missing You,Isac Elliot,spotify:track:08nPG3sPkJ1n8ku3UTCtPU,223087,0.59,0.788,1,-5.627,0,0.0379,0.000602,0.0,0.152,0.226,128.032,4
1550,Imus,Gasellit,spotify:track:36Z8yGC7k9452ieaSGYRMg,226826,0.788,0.791,1,-5.555,1,0.122,0.0186,6.39e-06,0.181,0.482,124.011,4
1551,Filmi katkee (feat. Aste),"Aleksanteri Hakaniemi, Aste",spotify:track:2G6x5MCndBRioc5CiMSDMx,187189,0.754,0.896,5,-4.184,0,0.0842,0.0541,0.0,0.0554,0.714,98.012,4
1552,Holy Grail,"JAY-Z, Justin Timberlake",spotify:track:1olNHIIVl4EVwIEPGYIR7G,338413,0.683,0.537,2,-6.945,0,0.0878,0.0619,1.01e-05,0.247,0.153,145.089,4
1553,Maailma loppuu tänään,Titta,spotify:track:46AJKQZ9C5KptlPVyBjjBs,218373,0.616,0.559,7,-7.292,1,0.0771,0.167,5.61e-06,0.0644,0.333,147.946,4
1554,Ihan sairasta mutta oikeesti kuulumme yhteen,Antti Tuisku,spotify:track:1VHH15YtVrrjyo5INccHOt,247160,0.619,0.704,8,-4.154,1,0.0572,0.266,0.0,0.106,0.394,127.982,4
1555,Ride,SoMo,spotify:track:2KzaeGqwXjtpx37We31k32,289368,0.703,0.513,11,-7.544,1,0.0534,0.394,0.0,0.147,0.312,115.022,4
1556,Erase Your Social,Lil Uzi Vert,spotify:track:4uhvMW7ly7tJil31YYscAN,199993,0.705,0.609,3,-5.728,1,0.0729,0.694,0.0,0.234,0.718,140.058,4
1557,HUMBLE.,Kendrick Lamar,spotify:track:31c9IHwCIONmUYW0jL7Riz,177604,0.907,0.591,1,-7.507,0,0.105,0.000359,2.81e-05,0.0897,0.418,149.992,4
1558,Family Business,Kanye West,spotify:track:6wFxUq7Gr44N3uwLjVQRR0,278893,0.726,0.533,0,-7.49,1,0.216,0.159,0.0,0.475,0.548,93.702,4
1559,Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson",spotify:track:4SPLWgCPoKwULz2UTM8TKg,214866,0.718,0.609,0,-4.699,0,0.043,0.281,3.29e-05,0.234,0.497,122.95,4
1560,Clique,"Kanye West, JAY-Z, Big Sean",spotify:track:7eW9cHOAHmYqphs5tWXETw,293613,0.71,0.555,9,-5.942,0,0.295,0.0601,0.0,0.227,0.303,109.204,5
1561,Boombidibyebye (feat. Ivone Cerdan),"Keko Salata, Ivone Cerdan",spotify:track:0z5xk3m3oRotHSx4OBPi8D,216237,0.776,0.843,8,-5.464,1,0.106,0.267,0.0,0.071,0.449,97.975,4
1562,Soittorasia,"Petri Nygård, Mariska",spotify:track:6qBoGwWaCo60MnCjIBanEC,214309,0.689,0.812,10,-3.931,0,0.0313,0.00654,0.0,0.295,0.367,131.985,4
1563,Siivet,"Teflon Brothers, Aku Hirviniemi",spotify:track:7HceM0pK43Fde1C2C5jxG5,226133,0.698,0.727,11,-5.277,0,0.143,0.00379,2.6e-06,0.153,0.592,124.04,4
1564,Rakkaudesta,Titta,spotify:track:7F7hIN7STbxevaC4kII8Ux,211547,0.699,0.719,11,-6.44,1,0.128,0.0595,0.00456,0.161,0.354,119.93,4
1565,Ei pystyny hengittää,Vesala,spotify:track:6PvU77TNPrmBD3OYvJDSXo,224220,0.359,0.66,9,-6.11,0,0.0452,0.0306,0.096,0.186,0.103,154.853,4
1566,Thinking About You,"Hardwell, Jay Sean",spotify:track:6C6MLXm77V9VH0v27oJRak,191311,0.702,0.914,6,-3.197,0,0.0507,0.0271,5.97e-05,0.259,0.623,121.994,4
1567,Hula Hula,"Robin Packalen, Nelli Matula",spotify:track:5WytJMdICvcrJF6JY0W4pl,215548,0.608,0.91,10,-3.692,0,0.0869,0.102,0.0,0.384,0.773,101.905,4
1568,Mask Off,Future,spotify:track:3rOSwuTsUlJp0Pu0MkN8r8,204600,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4
1569,Sitä säät mitä tilaat (feat. Ellinoora),"JVG, Ellinoora",spotify:track:5DTBkAANRc9K2B2uZ9aVCU,215400,0.678,0.56,8,-6.06,0,0.0533,0.136,0.000469,0.114,0.147,93.129,4
1570,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",spotify:track:6kex4EBAj0WHXDKZMEJaaF,216408,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,4
1571,Muistanks Mä Väärin?,"Gasellit, Karri Koira",spotify:track:4Edk4UEk5Vlul0ZUoVxLqT,220040,0.793,0.717,5,-5.518,0,0.133,0.278,1.01e-05,0.151,0.594,97.971,4
1572,Something Just Like This,"The Chainsmokers, Coldplay",spotify:track:6RUKPb4LETWmmr3iAEQktW,247160,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4
1573,Chasing Highs,ALMA,spotify:track:6fTsxhIosAU6zXTAhSaemI,195678,0.782,0.764,2,-4.591,0,0.0572,0.303,1.17e-05,0.433,0.526,111.968,4
1574,Urheiluhullu,JVG,spotify:track:0mj07aASkf2RYZR1QQ5k7l,168448,0.711,0.877,0,-4.127,1,0.0489,0.0258,0.0,0.152,0.967,128.036,4
1575,Hulluuden Highway,Haloo Helsinki!,spotify:track:1RPMDcIljymdp7dSgTfhls,255506,0.612,0.9,4,-5.852,0,0.0875,0.0188,0.00181,0.377,0.454,129.9,4
1576,Rakas,Haloo Helsinki!,spotify:track:0O2nxouygWlAVxHZPw3YCW,214106,0.616,0.669,7,-5.989,0,0.0475,0.589,6.55e-06,0.111,0.358,127.874,4
1577,Maailman Toisella Puolen,Haloo Helsinki!,spotify:track:7DNUxxMdLLnAwUiWm2P9V6,241346,0.681,0.645,0,-7.525,1,0.034,0.0131,0.000764,0.1,0.914,125.015,4
1578,Jos Mun Pokka Pettää,Haloo Helsinki!,spotify:track:3As0v0OzE3qjsnEKI8phHZ,213306,0.536,0.831,10,-6.311,1,0.0453,0.0207,0.0,0.0794,0.773,136.33,4
1579,Karhun kaato,HesaÄijä,spotify:track:2V2wTsXn6clpbtNYsCLnO2,200424,0.66,0.869,7,-4.572,1,0.0519,0.0331,0.0,0.84,0.778,130.051,4
1580,Rihanna (feat. Heikki Kuula),"Hotelli Vantaa, Heikki Kuula",spotify:track:595VInLskiR7Cz2f6BTMgT,211017,0.67,0.762,7,-5.328,0,0.0503,0.123,0.0,0.317,0.472,97.959,4
1581,Yhdessä yksinäisiä,Janne Ordén,spotify:track:4AOWlVNCZZwS3iKJDNlqqF,186219,0.657,0.832,4,-4.787,0,0.167,0.051,0.0,0.157,0.663,99.974,4
1582,Arvon Leidit,Teflon Brothers,spotify:track:7KHixMcZqOwQ1Q2svkO4la,209873,0.736,0.842,6,-4.418,1,0.0432,0.00209,0.00679,0.0659,0.607,103.016,4
1583,Työmiehen lauantai (feat. TIPPA),"Arttu Wiskari, TIPPA",spotify:track:1ZIfhYiIWAHIDGFELBau6x,218828,0.626,0.772,7,-5.797,1,0.0534,0.058,0.0,0.109,0.621,128.069,4
1584,Mun Kaa,SINI YASEMIN,spotify:track:7p6i6Jgh3WUYmmhdiVlyhl,227838,0.647,0.781,10,-4.428,1,0.0418,0.162,0.0,0.141,0.276,139.97,4
1585,Sunnuntaisin (feat. NEEA),"Janne Ordén, Neea",spotify:track:5qRCsAyI0Hi380917HcEZQ,192094,0.645,0.783,6,-5.412,1,0.164,0.182,0.0,0.16,0.631,91.084,4
1586,Huonoo Seuraa,Kasmir,spotify:track:3T1QBIeRRaAFAqcPgZg37l,219563,0.592,0.738,7,-7.252,0,0.0581,0.0604,0.0,0.473,0.606,97.067,4
1587,Kun tänään lähden,Erin,spotify:track:3mH4rqLgonRtC9CtVeXA1a,220929,0.429,0.535,0,-6.873,1,0.0898,0.287,9.62e-06,0.0985,0.203,83.092,4
1588,En Pysty Lopettaa,BESS,spotify:track:0S4L6NE73zybaDIZm9WL4j,188333,0.957,0.64,11,-4.588,0,0.152,0.0899,0.0333,0.203,0.805,111.986,4
1589,Ai Ai Ai,STIG,spotify:track:3f3b8xQYDI0mf8fJaAkNZB,191464,0.833,0.671,9,-5.052,0,0.0414,0.0202,0.0189,0.0313,0.974,113.033,4
1590,Sinä riität,Mikko Harju,spotify:track:5mwei8E7EL1NoWVBxJiieZ,227510,0.642,0.613,7,-6.453,0,0.0335,0.0247,5.85e-06,0.33,0.427,115.986,4
1591,Now Or Never,Halsey,spotify:track:1mDGDb2fUmUMdqV3tb8VKQ,214801,0.67,0.585,6,-4.861,0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,4
1592,Regret In Your Tears,Nicki Minaj,spotify:track:5x8W6iNXDCQrHp1DF5j4UW,229573,0.764,0.468,0,-11.08,0,0.0869,0.745,0.312,0.171,0.231,106.137,4
1593,Fuqboi,Hey Violet,spotify:track:2jRzIN40kNK6VAnAO4GNG1,188247,0.463,0.741,2,-5.575,1,0.213,0.019,0.0,0.06,0.584,200.124,4
1594,Here Comes The Night,"DJ Snake, Mr Hudson",spotify:track:2Cpkxl94ijKgxt3Weisfz0,286880,0.472,0.774,10,-3.855,0,0.053,0.176,4.81e-06,0.117,0.232,159.784,4
1595,TG4M,Zara Larsson,spotify:track:4uoumbAMEMaKdtiv763jKz,172893,0.667,0.648,3,-6.398,0,0.0626,0.0235,1.52e-05,0.0427,0.589,95.031,4
1596,No Promises (feat. Demi Lovato),"Cheat Codes, Demi Lovato",spotify:track:1louJpMmzEicAn7lzDalPW,223503,0.741,0.667,10,-5.445,1,0.134,0.0575,0.0,0.106,0.595,112.956,4
1597,Dirty Love,Cher Lloyd,spotify:track:4I5JjW4KpDiC7kJBpCmxhH,198480,0.539,0.889,5,-2.416,1,0.0531,0.0246,0.0,0.233,0.614,169.979,4
1598,Pure Grinding,Avicii,spotify:track:5xbFkdL9vW2uPlBXL3Upw0,171960,0.708,0.755,2,-3.438,1,0.0552,0.079,8.62e-06,0.105,0.304,104.005,4
1599,Lush Life - Original Mix,"LEO ISLO, Dani Poppitt",spotify:track:0C5ccaa4Jh8mAk9lcPXm1G,222965,0.465,0.502,5,-6.04,0,0.0319,0.000498,7.78e-06,0.12,0.374,96.964,4
1600,679 (feat. Remy Boyz),"Fetty Wap, Remy Boyz",spotify:track:5NQbUaeTEOGdD6hHcre0dZ,196693,0.618,0.717,7,-5.738,1,0.318,0.00256,0.0,0.625,0.603,190.05,4
1601,Can't Sleep Love,Pentatonix,spotify:track:6voO8ZG9WTBG6ALLtzTZB5,173253,0.724,0.438,2,-6.774,1,0.0419,0.0962,0.0,0.146,0.588,94.576,4
1602,Cheyenne,Jason Derulo,spotify:track:3EofjRgUI1WrzqqtLb8NoF,215107,0.554,0.768,6,-5.812,0,0.127,0.0126,7.13e-06,0.122,0.324,99.679,4
1603,Intro,Big Sean,spotify:track:08liv8ZVvshdSFRzS8tXgL,64093,0.452,0.813,8,-9.31,1,0.154,0.875,0.00018,0.403,0.237,93.593,3
1604,Light,"Big Sean, Jeremih",spotify:track:5Wa2Nxg4pmIPpkkdKiDVtc,210506,0.513,0.611,7,-5.979,0,0.0625,0.828,0.0,0.108,0.199,85.246,4
1605,Bounce Back,Big Sean,spotify:track:0PyWKgNmGiYTFe6MXN5U4K,222360,0.684,0.549,9,-5.695,1,0.248,0.11,0.0,0.125,0.277,81.441,4
1606,No Favors,"Big Sean, Eminem",spotify:track:04h2uFDF3Ewr7orA6EDbQ3,325840,0.722,0.771,11,-5.5,1,0.32,0.634,1.75e-06,0.312,0.347,93.526,4
1607,Jump Out The Window,Big Sean,spotify:track:7HMMxBURL3a5ay0DxIYcix,213693,0.744,0.712,1,-6.725,1,0.0849,0.132,0.0,0.132,0.548,136.968,4
1608,Moves,Big Sean,spotify:track:358uP4VwX0XYKji2IW19zi,142906,0.803,0.524,2,-6.245,1,0.277,0.0563,0.0,0.174,0.349,75.531,4
1609,Same Time Pt. 1,"Big Sean, TWENTY88",spotify:track:7rSkPchQtS7dwdgcMBy2So,89866,0.573,0.483,1,-7.016,1,0.274,0.707,0.0,0.263,0.735,109.007,1
1610,Owe Me,Big Sean,spotify:track:2J42ple4NJcFbSnuIOYy7a,271693,0.607,0.624,8,-8.769,1,0.154,0.394,0.0,0.113,0.377,142.361,4
1611,Halfway Off The Balcony,Big Sean,spotify:track:7mvT53UVtAjuImo6gQg3DX,230960,0.537,0.801,8,-6.571,1,0.259,0.366,0.0,0.224,0.141,125.146,4
1612,Voices In My Head/Stick To The Plan,Big Sean,spotify:track:0bbVaCpZ2TM6vyUJUTFYJZ,242306,0.47,0.531,1,-8.604,1,0.24,0.148,0.0,0.583,0.135,145.176,4
1613,Sunday Morning Jetpack,"Big Sean, The-Dream",spotify:track:6FWYmupdLTk0ufhz6Zs2wc,225066,0.55,0.743,10,-8.03,0,0.126,0.715,0.0,0.348,0.617,84.45,4
1614,Inspire Me,Big Sean,spotify:track:52dF80cnJ3orKs20AED9p4,208306,0.728,0.674,5,-7.164,0,0.219,0.327,0.0,0.263,0.406,136.048,4
1615,Sacrifices,"Big Sean, Migos",spotify:track:6P4ddDKk7z9qjCJnr8oH57,287320,0.779,0.574,10,-7.637,0,0.273,0.276,0.0,0.241,0.386,141.969,4
1616,Bigger Than Me,"Big Sean, The Flint Chozen Choir, Starrah",spotify:track:1RSIhKLPPbvT2f78OMCRqA,292520,0.343,0.646,10,-7.917,0,0.136,0.271,0.0,0.318,0.15,58.252,3
1617,Loud,Mac Miller,spotify:track:5aQmsZCESbhasWW5VARdS8,171148,0.649,0.822,1,-5.8,1,0.0398,0.00258,3.83e-05,0.362,0.201,140.026,4
1618,good kid,Kendrick Lamar,spotify:track:0PKJxo97zXT8oAwl2zFnPh,214120,0.451,0.831,5,-8.641,0,0.307,0.0623,0.0,0.185,0.41,176.162,4
1619,Booty Bounce - Radio Edit,Tujamo,spotify:track:2v6nEmqTRR4e1feHi8LLtp,199687,0.656,0.987,0,-2.26,1,0.0353,0.0225,0.388,0.0629,0.554,127.993,4
1620,Faith - Radio Edit,Blasterjaxx,spotify:track:6hOIcJuFY77j8HPzi82XKe,183093,0.673,0.693,2,-6.592,1,0.0441,0.00689,0.00438,0.209,0.642,127.979,4
1621,Tsunami,Lea in the Mix,spotify:track:3dpOIIEMjDyeN8Mcevt2Mu,229067,0.571,0.774,4,-5.268,0,0.0737,0.0639,0.693,0.0708,0.665,128.013,4
1622,There's Nothing Holdin' Me Back,Shawn Mendes,spotify:track:79cuOz3SPQTuFrp8WgftAu,199440,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996,4
1623,You Don't Know Me - Radio Edit,"Jax Jones, RAYE",spotify:track:4WrS6vezaPwOafKJmHqMEU,211935,0.887,0.669,11,-6.058,0,0.144,0.16,0.0,0.181,0.661,123.967,4
1624,Thunder,Imagine Dragons,spotify:track:56lBX2WHqfGuoeZxZvUnVj,187761,0.601,0.834,0,-3.78,1,0.0455,0.00502,0.15,0.121,0.249,167.879,4
1625,Bon Appétit,"Katy Perry, Migos",spotify:track:14oOKFGuXu8DqvOe1W8vao,227292,0.797,0.791,6,-5.799,1,0.0626,0.115,6e-05,0.144,0.516,106.044,4
1626,Fuck You,Lily Allen,spotify:track:5st5644IlBmKiiRE73UsoZ,219893,0.775,0.904,1,-4.08,0,0.0437,0.0271,0.000303,0.06,0.84,130.009,4
1627,Our Way,"FTampa, Kamatos",spotify:track:7hA7pMp2Vr1OCC4sWYwaMG,175160,0.569,0.805,10,-4.0,0,0.0559,0.0407,0.0,0.294,0.653,104.989,4
1628,Blind Heart - Radio Edit,"CAZZETTE, Terri B!",spotify:track:3Wb4T8OJg4obJNBMUYgfPm,197953,0.722,0.827,1,-6.501,0,0.0659,0.0844,9.14e-05,0.0654,0.346,121.896,4
1629,Runaway Baby,Bruno Mars,spotify:track:5MMLS3xm12D7N26xlfFApr,148448,0.658,0.762,10,-3.028,0,0.0425,0.263,0.0,0.127,0.823,163.864,4
1630,Running Wild (feat. Britt Daley & The Oddictions),"Morgan Page, Britt Daley, The Oddictions",spotify:track:7wcOD2mOxODDnWBUGmCtPd,210253,0.577,0.772,6,-2.17,0,0.0307,0.00243,0.756,0.109,0.392,126.025,4
1631,Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",spotify:track:1cG0umU5TKStygKsPFZ9pY,191379,0.483,0.787,8,-5.244,1,0.102,0.112,0.0,0.257,0.58,122.058,4
1632,Waiting All Night (feat. Ella Eyre),"Rudimental, Ella Eyre",spotify:track:6yraFyhgbavO2amB2lhpfi,292586,0.544,0.728,6,-5.358,0,0.05,0.00264,0.00959,0.427,0.281,174.983,4
1633,Freaks - Radio Edit,"Timmy Trumpet, Savage",spotify:track:2vmhozqhGXyT8dNErhFhH6,168746,0.883,0.972,4,-0.828,1,0.136,0.0175,0.321,0.221,0.746,128.134,4
1634,Would I Lie to You - Radio Edit,"David Guetta, Cedric Gervais, Chris Willis",spotify:track:4PdJSsESm34djLfBde9Pr2,197647,0.671,0.826,7,-5.766,0,0.309,0.00718,0.0,0.631,0.774,123.986,4
1635,BURN IT DOWN,Linkin Park,spotify:track:7oVEtyuv9NBmnytsCIsY5I,230253,0.585,0.972,9,-4.45,0,0.0534,0.0143,0.0,0.0707,0.585,110.006,4
1636,Dare (La La La) - Dirtyloud Remix,"Shakira, Marcus Vinicius Campos, Eduardo Nascimento",spotify:track:6FtnnIxBSt7hu0XiNFJ8Uv,286762,0.741,0.781,1,-6.887,1,0.0951,0.0289,0.071,0.0523,0.364,128.004,4
1637,Melody - Coone Remix,"Dimitri Vegas & Like Mike, Steve Aoki, Ummet Ozcan",spotify:track:5uPvhRXS0ahME0NpmbhZaa,235925,0.53,0.968,5,-4.102,0,0.0485,0.00976,0.0058,0.317,0.0705,149.975,4
1638,Going Under,Evanescence,spotify:track:07EeNeSCYJajyJW5U7Q3Wd,214946,0.378,0.847,11,-4.858,0,0.0514,0.0107,3.67e-05,0.205,0.49,175.104,4
1639,On My Way,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",spotify:track:6PKf0T1qXVhuDkzje6O9sq,264786,0.641,0.829,0,-4.014,1,0.0422,0.0555,5.28e-05,0.118,0.338,127.991,4
1640,Hold My Hand,Jess Glynne,spotify:track:1i1rNVtxbE7rdFfpHuNq2j,227343,0.642,0.823,0,-5.717,1,0.0289,0.00159,0.0,0.0776,0.431,122.977,4
1641,Emergency,Icona Pop,spotify:track:6sKAs2tdtTVTO2U0IgJAur,169617,0.834,0.969,6,-3.383,1,0.063,0.0558,0.000723,0.0635,0.928,125.985,4
1642,Bitch Better Have My Money - R3hab Remix,"Rihanna, R3HAB",spotify:track:6KpwFKnUdpF98NSi81YUdH,228753,0.788,0.921,1,-3.21,0,0.055,0.006,0.00372,0.105,0.551,128.007,4
1643,Secrets,"Tiësto, KSHMR, VASSY",spotify:track:6YcsrI93YwZI8Pw0KRpgPJ,250946,0.648,0.812,11,-7.585,0,0.0414,0.000329,0.0369,0.0857,0.122,128.178,4
1644,Really Don't Care,"Demi Lovato, Cher Lloyd",spotify:track:5vTPxzm4h2bY9rYyVrGEU5,201600,0.706,0.728,7,-3.602,1,0.0852,0.123,0.0,0.185,0.851,121.017,4
1645,Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",spotify:track:0TVV2gFROJaB3kIZyCUvIY,227833,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,4
1646,Waiting For Love,Avicii,spotify:track:00GfiT5AxTNSDQihPeMRkM,228750,0.575,0.75,6,-3.798,0,0.0438,0.299,0.0,0.268,0.609,128.091,4
1647,Hey Brother - Avicii By Avicii,"Avicii, Tim Bergling",spotify:track:2KQv3sdbyzdDltMInbpU9X,369946,0.603,0.714,3,-6.009,1,0.0558,0.0204,0.0888,0.233,0.265,124.994,4
1648,Shame On Me - Avicii By Avicii,Avicii,spotify:track:2jQDJ7f0tgXj5atN8abJmq,236146,0.611,0.844,1,-5.134,1,0.178,0.0542,0.00439,0.0483,0.353,193.991,4
1649,Feeling Good,Avicii,spotify:track:7oDjaRDdf9zNQ8N3yRjQwF,228938,0.394,0.581,11,-5.489,0,0.0397,0.318,0.0,0.112,0.0992,100.092,3
1650,Get It Started (feat. Shakira),"Pitbull, Shakira",spotify:track:3JNqJPbbS1KhVzStLyxw1h,245746,0.706,0.807,1,-4.357,0,0.169,0.0616,0.0,0.754,0.531,128.999,4
1651,Anaconda,Nicki Minaj,spotify:track:5a5so8nqDGq75MI5WMbBtT,260826,0.948,0.632,2,-5.463,1,0.146,0.0582,0.000106,0.204,0.742,130.018,4
1652,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,"Lana Del Rey, Cedric Gervais",spotify:track:6D5pfooPP6hi99RaXjkDsP,214912,0.567,0.813,1,-5.744,0,0.0581,0.0138,9.03e-06,0.125,0.114,126.044,4
1653,human - EDX's FE5TIVAL RADIO EDIT,Christina Perri,spotify:track:01JeGl8zGqw2OV3llgjbqM,211875,0.569,0.804,1,-4.345,1,0.0701,0.0142,0.00352,0.392,0.356,127.882,4
1654,Sexy And I Know It,LMFAO,spotify:track:0obBFrPYkSoBJbvHfUIhkv,199480,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,4
1655,Get Lucky (feat. Pharrell Williams & Nile Rodgers),"Daft Punk, Pharrell Williams, Nile Rodgers",spotify:track:69kOkLUCkxIZYexIgSG8rq,369626,0.81,0.793,6,-9.404,0,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,4
1656,Friday Night,Vigiland,spotify:track:7HGHhLbAklVxGkYdwyeVML,173871,0.718,0.673,1,-5.567,0,0.0366,0.00104,1.16e-05,0.0577,0.0825,128.051,4
1657,Summer Air,ItaloBrothers,spotify:track:3GPI7hYiqD6enLRobhkBm8,183587,0.755,0.751,8,-4.034,1,0.0748,0.0635,0.0,0.0812,0.491,102.002,4
1658,Malibu,Miley Cyrus,spotify:track:2habSXqcJGExM6JJyskY7O,231905,0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16e-05,0.0757,0.4,140.004,4
1659,Kymmenen Kirosanaa - Vain Elämää Kausi 6,Robin Packalen,spotify:track:2zWVKlOfppLl96FpttaPrK,187726,0.708,0.688,10,-5.388,0,0.0478,0.0811,0.0,0.146,0.752,140.026,4
1660,Good Life (with G-Eazy & Kehlani),"G-Eazy, Kehlani",spotify:track:1Eck97uRMlprKOOJN9oO1E,225525,0.565,0.771,1,-5.22,1,0.213,0.00464,0.0,0.0568,0.573,168.385,4
1661,Solo,TUULI,spotify:track:3Ux92S4PuTNJekC34gSopu,212487,0.617,0.779,0,-5.557,1,0.0359,0.00587,0.0,0.096,0.584,149.875,4
1662,Pari kilometriä (feat. Diandra),"Keko Salata, Diandra",spotify:track:1WQ7vQzj05YlBPrzrL4lJD,209052,0.751,0.86,8,-5.134,0,0.0925,0.311,4.88e-05,0.0838,0.768,95.997,4
1663,Kylmii Väreitä,Evelina,spotify:track:7MddwdpQ7sh3Pi1xHUSr4K,191611,0.579,0.787,4,-3.309,0,0.184,0.422,0.0,0.329,0.699,167.961,4
1664,XXX. FEAT. U2.,"Kendrick Lamar, U2",spotify:track:4iYRa2btalAzPZoSYfROqF,254200,0.568,0.619,1,-6.899,1,0.414,0.138,1.67e-06,0.11,0.293,170.115,4
1665,Karjala Takas,Portion Boys,spotify:track:1PZNjZOmm3ZmaWkqvmJpaY,221217,0.756,0.874,7,-4.212,1,0.0316,0.00535,0.0,0.127,0.604,115.033,4
1666,Hands,"Mike Perry, The Vamps, Sabrina Carpenter",spotify:track:5153LWKMJiMNIRCChGN4Ja,167195,0.719,0.705,0,-5.057,0,0.0444,0.0175,0.0,0.348,0.599,100.03,4
1667,Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",spotify:track:6rPO02ozF3bM7NnOV4h6s2,228826,0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,4
1668,Rhythm Is A Dancer,"Breathe Carolina, Dropgun, Kaleena Zanders",spotify:track:3hY80yJLjl2VgYLjn1aLVp,171428,0.618,0.885,11,-1.943,1,0.0551,0.0531,0.000417,0.191,0.554,125.984,4
1669,Bad Liar,Selena Gomez,spotify:track:1sCxVKWImDZSZKvG0U9B23,214647,0.953,0.41,1,-6.543,1,0.0705,0.175,0.0,0.0768,0.718,121.074,4
1670,I Don't Love You (I'm Just Lonely),Junge Junge,spotify:track:2dY1QsrYUeWDtSCvXlx0WW,182605,0.872,0.763,0,-6.399,1,0.0495,0.0658,0.000525,0.0926,0.832,118.968,4
